id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Like
3tMgbrCOxhtUcEpVfWrACH,O Exílio,Benjamim,0.606,0.271,7,-12.959,1,0.891,0.000625,0.103,0.264,101.988,241058,3,1
7l4i6ZurXrUmi4f6nokh6B,Vias de Extinção,Benjamim,0.557,0.629,0,-6.298,1,0.0246,0.00593,0.279,0.211,148.015,343997,4,1
1tzPvghMVhPUlVCUtpjaWm,Areia,Men On The Couch,0.79,0.128,6,-16.266,1,0.78,3.63e-05,0.104,0.221,122.803,285167,3,1
2hQzCXo7p6YL73zpcNy6qv,Photosynthesis,Korantemaa,0.671,0.125,5,-14.246,0,0.9,0.0,0.0989,0.504,81.118,202106,4,1
0c3FONMPtfvTJgMXe04Nj2,Incompreensível,Ana Muller,0.553,0.366,4,-10.206,0,0.209,0.000926,0.291,0.217,127.814,247013,4,1
4m1KsLnr0vI8nntJnsrXTI,Quem Me Dera,Valter Lobo,0.414,0.065,9,-11.982,1,0.936,5.31e-05,0.108,0.411,174.679,243227,3,1
3p5cvrXVxBN2ety8OB4luc,JOAQUIM,S. PEDRO,0.931,0.276,9,-13.045,1,0.443,0.168,0.0969,0.473,119.902,183133,3,1
0u4rkpmNtgcFxYHepnVF4v,Carry You,Novo Amor,0.334,0.397,7,-7.993,1,0.558,0.0774,0.126,0.035,93.445,273107,4,1
7Bq0iyHYCOJ7lzRIC9fCDh,Ladies and Gentlemen We Are Floating in Space,Spiritualized,0.378,0.409,2,-11.468,1,0.753,0.000528,0.234,0.184,100.087,234053,3,1
0QQIhT6PtJ5glyn4HKNKQ6,All the Pretty Girls,KALEO,0.466,0.496,1,-6.606,1,0.626,6.22e-06,0.117,0.352,74.747,269893,4,1
54KFQB6N4pn926IUUYZGzK,To Build A Home,Patrick Watson,0.264,0.122,9,-15.399,1,0.885,0.349,0.094,0.0735,148.658,371320,4,1
2KCqAdd2ad0hpJc5ySoTE8,Coastline,Hollow Coves,0.67,0.496,2,-11.23,1,0.627,0.00325,0.0584,0.427,100.17,233973,4,1
1mbuSss0OVqfS00y7yCNCZ,Ruthless,The Marías,0.673,0.437,9,-11.746,1,0.713,0.152,0.117,0.551,104.996,247455,4,1
0IuE6FnXPCdZ8NLuuvJRhb,On Track,Tame Impala,0.388,0.648,2,-5.578,1,0.116,4.19e-06,0.082,0.112,163.861,301787,4,1
0dUx3ieX3SszKtpEtlBcoN,Ayrton Senna,Norberto Lobo,0.306,0.447,3,-10.645,1,0.539,0.856,0.124,0.417,119.548,173307,4,1
0IcSLT53eE07Jmok64Ppo3,Space Song,Beach House,0.508,0.785,0,-7.286,0,0.221,0.125,0.142,0.61,147.073,320467,4,1
6PB7R41AktgVRoJHE3XlWr,You Came To Me,Beach House,0.465,0.312,3,-11.376,1,0.676,0.86,0.108,0.129,94.794,245333,4,1
1FWsomP9StpCcXNWmJk8Cl,K.,Cigarettes After Sex,0.454,0.4,3,-10.261,1,0.139,0.846,0.137,0.327,93.719,320030,4,1
7vpvMspRgoeBTxOwP44a1Q,In a Mood,TheSecondSex,0.761,0.293,0,-19.087,1,0.523,0.721,0.124,0.601,143.976,247500,4,1
4dzp8GRpioWBDVABY2JI42,Petals,Bibio,0.315,0.345,5,-8.273,1,0.887,0.00611,0.109,0.196,76.28,156000,4,1
5I6y1KWmUoV5YCaIEcs1qs,Should Have Known Better,Sufjan Stevens,0.571,0.172,7,-20.7,1,0.979,0.275,0.124,0.297,90.972,307698,4,1
