id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Like,key_object
0IcSLT53eE07Jmok64Ppo3,Space Song,Beach House,0.508,0.785,0,-7.2860000000000005,0,0.221,0.125,0.142,0.61,147.07299999999998,320467,4,1,C
6PB7R41AktgVRoJHE3XlWr,You Came To Me,Beach House,0.465,0.312,3,-11.376,1,0.6759999999999999,0.86,0.10800000000000001,0.129,94.794,245333,4,1,D♯
1FWsomP9StpCcXNWmJk8Cl,K.,Cigarettes After Sex,0.45399999999999996,0.4,3,-10.261,1,0.139,0.846,0.13699999999999998,0.327,93.719,320030,4,1,D♯
7vpvMspRgoeBTxOwP44a1Q,In a Mood,TheSecondSex,0.7609999999999999,0.293,0,-19.087,1,0.523,0.721,0.124,0.601,143.976,247500,4,1,C
4dzp8GRpioWBDVABY2JI42,Petals,Bibio,0.315,0.345,5,-8.273,1,0.887,0.00611,0.109,0.196,76.28,156000,4,1,F
5I6y1KWmUoV5YCaIEcs1qs,Should Have Known Better,Sufjan Stevens,0.5710000000000001,0.172,7,-20.7,1,0.9790000000000001,0.275,0.124,0.297,90.97200000000001,307698,4,1,G
38ydcsbayM4oX21Hhu84DT,Every Time the Sun Comes Up,Sharon Van Etten,0.6629999999999999,0.522,1,-8.741,1,0.392,5.41e-06,0.19699999999999998,0.301,99.765,262520,4,1,C♯
1cojywlfxjSzY4xuYYQOmP,Aaaaaaaaaaaaa,Mahmed,0.493,0.392,5,-8.316,0,0.409,0.209,0.149,0.131,85.40799999999999,216256,4,1,F
76bcaYeKOKTrj9lEc9BZFU,Quando Bate Aquela Saudade,Rubel,0.55,0.314,7,-14.133,1,0.895,0.0107,0.188,0.595,90.088,394707,4,1,G
6BMGNCRJnwuwp3UVVCXry8,Homage,Mild High Club,0.547,0.46399999999999997,5,-8.167,1,0.152,0.00292,0.321,0.442,73.366,177493,4,1,F
7kgMtZHgem1PlJhuP7vbur,Rivers And Roads,The Head and the Heart,0.48700000000000004,0.19899999999999998,0,-8.931000000000001,1,0.726,3.91e-05,0.0755,0.16399999999999998,137.873,284000,3,1,C
5yVfyUXiFntXBFVHcTXdax,Esse Olhar Que Era Só Teu,Dead Combo,0.486,0.19699999999999998,2,-11.582,0,0.85,0.852,0.105,0.3,91.882,352960,4,1,D
09JRFc5o6X3UsQzoF5ICqg,Serotonina,Diego Lorenzini,0.618,0.299,1,-13.815999999999999,0,0.9890000000000001,0.0026100000000000003,0.131,0.434,96.45700000000001,186272,4,1,C♯
0ntyYV99MFp7f7MGZlwYj4,Whatever Comes to Mind,MorMor,0.542,0.46799999999999997,10,-7.796,1,0.579,0.10400000000000001,0.11199999999999999,0.252,130.829,249305,4,1,A♯
5cTYDnu85n8QczxwoTd6jP,Twenty Four,Walter Benjamin,0.64,0.27899999999999997,7,-13.030999999999999,1,0.353,0.151,0.0927,0.429,114.988,237413,3,1,G
2DmEvNxGJOLyuQBf4NR22o,O Peso do Meu Coração,Castello Branco,0.562,0.284,4,-10.880999999999998,0,0.815,0.51,0.125,0.0474,76.91199999999999,380390,4,1,E
42H6GeQfrBkT3vTUTdpB1M,Please Never Fall in Love Again,Ollie MN,0.6459999999999999,0.0828,10,-16.205,1,0.838,1.2e-05,0.0934,0.293,108.82600000000001,154000,4,1,A♯
4QwzVlAJSkcLeCNQ6Ug30P,The touch of your lips,Chet Baker,0.478,0.0077599999999999995,10,-24.986,1,0.983,0.78,0.105,0.215,114.27,499533,4,1,A♯
1uliNs1keVwYclj74JX44R,Decimal,Novo Amor,0.511,0.435,7,-8.437999999999999,1,0.8859999999999999,0.223,0.0822,0.34600000000000003,159.071,178627,4,1,G
6vG1pcmNGdG6Vu62I9nLGL,K.,Rosie Carney,0.348,0.226,3,-10.918,1,0.9620000000000001,0.00483,0.135,0.17300000000000001,129.251,269000,3,1,D♯
37adNHvszWoS1kINkE99Ja,On the Train Ride Home,The Paper Kites,0.611,0.195,6,-18.629,1,0.8059999999999999,0.10099999999999999,0.11199999999999999,0.203,103.007,227200,4,1,F♯
1wcAKUbAyMRy0uSsFbyiCv,Mice,Billie Marten,0.65,0.195,5,-12.569,1,0.695,1.26e-05,0.0851,0.363,122.90799999999999,244261,3,1,F
78e02OxzIocXs21FqQ4UGK,Foreign Hands,George Ogilvie,0.406,0.449,3,-8.738,0,0.52,0.0,0.0942,0.335,140.00799999999998,258531,4,1,D♯
0NJ1LV5VblYyJsJt3EbAx7,Rose Petals,S. Carey,0.562,0.282,10,-11.956,1,0.888,0.00297,0.0812,0.172,127.964,213667,4,1,A♯
6oVm5ocTB8B0rjO5dZk8Px,Ayahuasca,Vancouver Sleep Clinic,0.46299999999999997,0.228,4,-15.717,0,0.7340000000000001,0.11,0.0691,0.0528,148.003,508602,4,1,E
1L0mf9NDoWLR207WSrQlXd,Estar à Espera ou Procurar,B Fachada,0.5770000000000001,0.68,10,-11.655,1,0.391,0.00032,0.127,0.852,92.478,156507,4,1,A♯
4LiSXw8550M0SCQK03D65g,É Normal,B Fachada,0.7659999999999999,0.495,2,-15.139000000000001,1,0.23800000000000002,0.754,0.113,0.879,123.988,176867,4,1,D
0GD1RP6CWeFtG7zw6J8LKL,Afro-Xula,B Fachada,0.635,0.703,5,-10.767000000000001,1,0.00869,1.4000000000000001e-05,0.0589,0.732,93.012,212973,4,1,F
74utSUgzHXbskV9KzTq8ww,Quem Quer Fumar com o B Fachada,B Fachada,0.648,0.435,6,-14.498,1,0.276,0.239,0.11,0.584,85.977,230800,4,1,F♯
70ENYnHaQ8UfSYjsogc6yx,Tendinite,B Fachada,0.672,0.757,4,-9.377,1,0.0715,0.507,0.0627,0.98,131.969,144720,4,1,E
1HOUuSeK6VV1pkuj2L9Zwe,98,B Fachada,0.619,0.742,2,-9.305,1,0.000721,0.0564,0.11199999999999999,0.937,109.988,197213,4,1,D
0421HqI0wndr3EDq8tRi70,Carlos T,B Fachada,0.672,0.737,4,-9.834,0,0.14400000000000002,0.11599999999999999,0.133,0.965,130.026,239760,4,1,E
5NfhgPuyfscfo71KxtNpdq,BalaDona,B Fachada,0.166,0.28800000000000003,9,-12.31,1,0.172,0.971,0.0541,0.0763,126.917,280907,4,1,A
5zdqtW0C4EV4JBXkioHXIu,Sozinho no Róque,B Fachada,0.40299999999999997,0.12300000000000001,1,-18.801,1,0.925,0.96,0.0919,0.0667,67.48100000000001,213307,4,1,C♯
0c7mH28yRoNE0Gp6SMQ28f,Roupa de Estrada,B Fachada,0.586,0.102,2,-15.568,1,0.9059999999999999,0.716,0.136,0.0758,97.008,442093,3,1,D
6GXO0C9U0I5Q4C4Ndh7aQF,Cantar o Apelo,B Fachada,0.325,0.307,3,-11.347000000000001,1,0.9359999999999999,0.8420000000000001,0.125,0.152,92.361,153800,4,1,D♯
