id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7ce20yLkzuXXLUhzIDoZih,Before You Go,Lewis Capaldi,0.459,0.575,3.0,-4.858,1.0,0.604,0.0,0.0885,0.183,111.881,215107.0,4.0
73nVXVgoqOuZfdbtONnWVE,Hard To Forget,Sam Hunt,0.689,0.689,4.0,-5.517,1.0,0.23,0.0,0.57,0.664,130.069,204760.0,4.0
1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,Young Thug,0.755,0.578,0.0,-8.932,0.0,0.316,0.0,0.25,0.581,94.148,176960.0,4.0
1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),Jason Derulo,0.767,0.481,0.0,-8.52,0.0,0.234,0.0,0.269,0.761,150.076,171375.0,4.0
1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,0.878,0.525,5.0,-6.832,1.0,0.183,0.0,0.0714,0.694,112.022,158571.0,4.0
25zlnOAzbVoOzIeXSvQFf1,Got It On Me,Pop Smoke,0.688,0.647,2.0,-7.258,1.0,0.00815,1.65e-05,0.095,0.195,88.834,164580.0,4.0
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head) (feat. beabadoobee),beabadoobee,0.726,0.431,8.0,-8.765,0.0,0.731,0.0,0.696,0.348,144.026,173333.0,4.0
0kPeZAyIhIfeZNrtfjJGDB,Bluebird,Miranda Lambert,0.661,0.633,7.0,-5.986,1.0,0.038,2.82e-06,0.124,0.613,81.984,209760.0,4.0
6O7fPYTsb2mY0PiFt2ymDB,Aim For The Moon (feat. Quavo),Quavo,0.713,0.605,11.0,-7.487,1.0,0.497,3.46e-06,0.115,0.432,142.025,175756.0,4.0
5MwynWK9s4hlyKHqhkNn4A,Chasin' You,Morgan Wallen,0.631,0.591,7.0,-5.785,1.0,0.657,0.0,0.11,0.489,97.074,205453.0,4.0
5RqR4ZCCKJDcBLIn4sih9l,Party Girl,StaySolidRocky,0.728,0.431,6.0,-9.966,0.0,0.749,0.0,0.0996,0.629,130.022,147800.0,4.0
1hg3RlqFZXJb5YgRoK9qmF,Gangstas,Pop Smoke,0.548,0.506,4.0,-7.434,0.0,0.203,0.0001,0.0788,0.557,119.987,160000.0,5.0
127QTOFJsJQp5LbJbu3A1y,Toosie Slide,Drake,0.834,0.454,1.0,-9.75,0.0,0.321,6.15e-06,0.114,0.837,81.618,247059.0,4.0
7sjFIZ1g5QLJLGja3k592K,44 BullDog,Pop Smoke,0.8,0.564,8.0,-5.817,1.0,0.0287,1.65e-06,0.112,0.318,139.989,150857.0,4.0
07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),Mustard,0.831,0.499,11.0,-8.442,0.0,0.269,0.0,0.3,0.511,97.956,220487.0,4.0
5kkaSMcf4BFlhRRICCKZb6,Something Special,Pop Smoke,0.739,0.616,7.0,-6.963,0.0,0.252,1.93e-06,0.101,0.654,91.071,158466.0,4.0
1kFpL1itkwkdhO6kcmNJra,Die From A Broken Heart,Maddie & Tae,0.607,0.514,4.0,-6.631,1.0,0.363,0.0,0.258,0.414,75.978,188291.0,4.0
0bjgQ24UZGwKikldIyEOgf,Yea Yea,Pop Smoke,0.717,0.474,5.0,-8.383,0.0,0.0509,0.0,0.139,0.448,123.906,185804.0,4.0
5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay),Lil Tjay,0.48,0.602,10.0,-6.335,0.0,0.487,0.0,0.0848,0.269,179.798,213333.0,4.0
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Justin Bieber,0.597,0.45,8.0,-6.658,1.0,0.223,0.0,0.382,0.537,178.765,228482.0,3.0
7ge7BHazYbVKi8qyZUX1Bm,Emotionally Scarred,Lil Baby,0.585,0.641,6.0,-4.269,0.0,0.0286,0.0,0.316,0.266,88.284,197530.0,4.0
4nK5YrxbMGZstTLbvj6Gxw,Supalonely,Gus Dapperton,0.863,0.631,7.0,-4.689,1.0,0.305,3.04e-05,0.123,0.817,128.977,223480.0,4.0
4cSSL3YafYjM3yjgFO1vJg,Walk Em Down (feat. Roddy Ricch),Roddy Ricch,0.867,0.744,9.0,-5.171,0.0,0.268,0.0,0.0713,0.645,84.005,173288.0,4.0
