id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year
36ylLzMtvJ2CItc7bN4TcF,Taro,alt-J,0.35,0.476,5,-10.653,1,0.765,0.0039,0.0785,0.293,171.938,314987,4,2017
1NyFRrFiJAJIaR6icj1goI,Skinny Love,Bon Iver,0.592,0.256,4,-14.031,0,0.842,2.38e-06,0.088,0.103,76.361,238533,4,2017
6O1XKTvgVLwytNWdOlFcHI,3WW,alt-J,0.637,0.137,2,-15.131,1,0.74,0.0287,0.0655,0.146,78.017,300107,4,2017
0CO9sYHaTAdEOWcPwW1J3j,O Amor É Assim,Carminho,0.794,0.595,9,-5.423,1,0.329,0.0,0.0601,0.836,112.009,264288,4,2017
3RVupqMb1zXl8FNG9TlWBZ,Mykonos,Fleet Foxes,0.391,0.45,11,-9.251,1,0.417,0.000335,0.14,0.344,121.946,275307,4,2017
49Fu8EcEOZ9OnpM1XpPpyU,Loucos (feat. Héber Marques),Héber Marques,0.514,0.573,10,-9.093,1,0.525,2.28e-05,0.0942,0.355,90.046,270053,4,2017
2UcvadWJXH3jQ3lJRA8RRu,Fitzpleasure,alt-J,0.585,0.594,9,-6.935,1,0.144,0.0011,0.105,0.36,143.94,219400,4,2017
4YrhnS6bODcNYUF4ealcUr,Morena,Tiago Bettencourt,0.609,0.73,9,-4.184,1,0.119,0.0,0.111,0.627,105.009,241067,4,2017
0FE9t6xYkqWXU2ahLh6D8X,Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.581,0.0,0.0931,0.931,95.977,233713,4,2017
03Cu1d9U6Xrs27qPlk1ULx,Roady,Fat Freddy's Drop,0.825,0.432,5,-9.56,0,0.0723,0.00109,0.164,0.842,173.023,429960,4,2017
5n0CTysih20NYdT2S0Wpe8,Trouble,Cage The Elephant,0.47,0.623,0,-5.655,1,0.392,0.000453,0.0992,0.298,77.861,225973,4,2017
126TblwXGNTUZ7RPMnThkU,Left Hand Free,alt-J,0.698,0.876,3,-4.45,1,0.452,0.0133,0.0824,0.81,101.992,173631,4,2017
5aAx2yezTd8zXrkmtKl66Z,Starboy,Daft Punk,0.681,0.594,7,-7.028,1,0.165,3.49e-06,0.134,0.535,186.054,230453,4,2017
1lzr43nnXAijIGYnCT8M8H,It Wasn't Me,Rik Rok,0.853,0.606,0,-4.596,1,0.0561,0.0,0.313,0.654,94.759,227600,4,2017
0A3b3cu2JPBUTGC6qJEqUy,Mo Boy,Dillaz,0.855,0.65,7,-7.007,1,0.546,1.1e-05,0.103,0.383,90.013,232000,4,2017
5QD4hHEv8812JagZlH1MMy,In Cold Blood,alt-J,0.493,0.748,11,-5.474,0,0.138,0.000548,0.273,0.6,143.467,206853,4,2017
5c5a2Ptu8eyIpljhQHjIqk,Ain't No Rest For The Wicked - Original Version,Cage The Elephant,0.635,0.914,0,-5.631,1,0.0597,0.0,0.601,0.922,156.014,175493,4,2017
05lBuZWQ2OhQuzoCSIkvUF,Holocene,Bon Iver,0.379,0.306,1,-14.446,1,0.942,0.323,0.123,0.157,147.902,336613,4,2017
0UcEomvOXjRN6q9KFuqo5q,Adeline,alt-J,0.414,0.339,6,-14.711,0,0.686,0.894,0.119,0.0467,142.025,350493,4,2017
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,Ed Sheeran,0.461,0.834,2,-4.868,1,0.0232,1.14e-05,0.14,0.471,135.007,261154,4,2017
6wFyAbv1NSf92mS2yEhagK,Call Back Home,Kyle Lionhart,0.727,0.455,11,-8.165,0,0.363,0.0,0.109,0.491,113.025,178420,4,2017
2foeNOzjUMkbKOi5tltNIH,O Jogo - Acoustic Version,Tiago Bettencourt,0.377,0.541,1,-7.461,1,0.522,0.0159,0.682,0.354,131.921,296307,4,2017
29giSMc0PUbiC1rhkFd5iZ,Loucos de Lisboa,João Gil,0.604,0.561,7,-8.025,1,0.561,0.0645,0.0858,0.428,109.865,285880,4,2017
